Iterations,Seconds,Score
385790000,1746736698,1.501267
385800000,1746736699,1.501267
385810000,1746736699,1.501267
385820000,1746736699,1.501267
385830000,1746736700,1.501267
385840000,1746736700,1.501267
385850000,1746736701,1.501267
385860000,1746736701,1.501267
385870000,1746736701,1.501267
385880000,1746736702,1.501267
385890000,1746736702,1.501267
385900000,1746736703,1.501267
385910000,1746736703,1.501267
385920000,1746736704,1.501267
385930000,1746736704,1.501267
385940000,1746736704,1.501267
385950000,1746736705,1.501267
385960000,1746736705,1.501267
385970000,1746736706,1.501267
385980000,1746736706,1.501267
385990000,1746736707,1.501267
386000000,1746736707,1.501267
386010000,1746736707,1.501267
386020000,1746736708,1.501267
386030000,1746736708,1.501267
386040000,1746736709,1.501267
386050000,1746736709,1.501267
386060000,1746736710,1.501267
386070000,1746736710,1.501267
386080000,1746736710,1.501267
386090000,1746736711,1.501267
386100000,1746736711,1.501267
386110000,1746736712,1.501267
386120000,1746736712,1.501267
386130000,1746736713,1.501267
386140000,1746736713,1.501267
386150000,1746736713,1.501267
386160000,1746736714,1.501267
386170000,1746736714,1.501267
386180000,1746736715,1.501267
386190000,1746736715,1.501267
386200000,1746736716,1.501267
386210000,1746736716,1.501267
386220000,1746736716,1.501267
386230000,1746736717,1.501267
386240000,1746736717,1.501267
386250000,1746736718,1.501267
386260000,1746736718,1.501267
386270000,1746736718,1.501267
386280000,1746736719,1.501267
386290000,1746736719,1.501267
386300000,1746736720,1.501267
386310000,1746736720,1.501267
386320000,1746736721,1.501267
386330000,1746736721,1.501267
386340000,1746736721,1.501267
386350000,1746736722,1.501267
386360000,1746736722,1.501267
386370000,1746736723,1.501267
386380000,1746736723,1.501267
386390000,1746736724,1.501267
386400000,1746736724,1.501267
386410000,1746736724,1.501267
386420000,1746736725,1.501267
386430000,1746736725,1.501267
386440000,1746736726,1.501267
386450000,1746736726,1.501267
386460000,1746736727,1.501267
386470000,1746736727,1.501267
386480000,1746736727,1.501267
386490000,1746736728,1.501267
386500000,1746736728,1.501267
386510000,1746736729,1.501267
386520000,1746736729,1.501267
386530000,1746736730,1.501267
386540000,1746736730,1.501267
386550000,1746736730,1.501267
386560000,1746736731,1.501267
386570000,1746736731,1.501267
386580000,1746736732,1.501267
386590000,1746736732,1.501267
386600000,1746736732,1.501267
386610000,1746736733,1.501267
386620000,1746736733,1.501267
386630000,1746736734,1.501267
386640000,1746736734,1.501267
386650000,1746736735,1.501267
386660000,1746736735,1.501267
386670000,1746736735,1.501267
386680000,1746736736,1.501267
386690000,1746736736,1.501267
386700000,1746736737,1.501267
386710000,1746736737,1.501267
386720000,1746736738,1.501267
386730000,1746736738,1.501267
386740000,1746736738,1.501267
386750000,1746736739,1.501267
386760000,1746736739,1.501267
386770000,1746736740,1.501267
386780000,1746736740,1.501267
386790000,1746736741,1.501267
386800000,1746736741,1.501267
386810000,1746736741,1.501267
386820000,1746736742,1.501267
386830000,1746736742,1.501267
386840000,1746736743,1.501267
386850000,1746736743,1.501267
386860000,1746736744,1.501267
386870000,1746736744,1.501267
386880000,1746736744,1.501267
386890000,1746736745,1.501267
386900000,1746736745,1.501267
386910000,1746736746,1.501267
386920000,1746736746,1.501267
386930000,1746736747,1.501267
386940000,1746736747,1.501098
386950000,1746736747,1.501098
386960000,1746736748,1.501098
386970000,1746736748,1.501098
386980000,1746736749,1.501098
386990000,1746736749,1.501098
387000000,1746736749,1.501098
387010000,1746736750,1.501098
387020000,1746736750,1.501098
387030000,1746736751,1.501098
387040000,1746736751,1.501098
387050000,1746736752,1.501098
387060000,1746736752,1.501098
387070000,1746736752,1.501098
387080000,1746736753,1.501098
387090000,1746736753,1.501098
387100000,1746736754,1.501098
387110000,1746736754,1.501098
387120000,1746736755,1.501098
387130000,1746736755,1.501098
387140000,1746736756,1.501098
387150000,1746736756,1.501098
387160000,1746736756,1.501098
387170000,1746736757,1.501098
387180000,1746736757,1.501098
387190000,1746736758,1.501098
387200000,1746736758,1.501098
387210000,1746736759,1.501098
387220000,1746736759,1.501098
387230000,1746736759,1.501098
387240000,1746736760,1.501098
387250000,1746736760,1.501098
387260000,1746736761,1.501098
387270000,1746736761,1.501098
387280000,1746736762,1.501098
387290000,1746736762,1.501098
387300000,1746736762,1.501098
387310000,1746736763,1.501098
387320000,1746736763,1.501098
387330000,1746736764,1.501098
387340000,1746736764,1.501098
387350000,1746736765,1.501098
387360000,1746736765,1.501098
387370000,1746736765,1.501098
387380000,1746736766,1.501098
387390000,1746736766,1.501098
387400000,1746736767,1.501098
387410000,1746736767,1.501098
387420000,1746736768,1.501098
387430000,1746736768,1.501098
387440000,1746736768,1.501098
387450000,1746736769,1.501098
387460000,1746736769,1.501098
387470000,1746736770,1.501098
387480000,1746736770,1.501098
387490000,1746736771,1.501098
387500000,1746736771,1.501098
387510000,1746736771,1.501098
387520000,1746736772,1.501098
387530000,1746736772,1.501098
387540000,1746736773,1.501098
387550000,1746736773,1.501098
